#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33252_159         -            369 21317at2157          -            319   1.3e-95  319.0   2.4   1   1   2.3e-95   1.1e-92  309.4   2.4     2   317     1   367     1   368 0.85 # 239415 # 240521 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
Utg33270_65          -            370 21317at2157          -            319   1.3e-86  289.4   0.2   1   1   2.5e-87   1.2e-84  283.0   0.2     2   317     2   368     1   369 0.85 # 80135 # 81244 # -1 # ID=11_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
Utg33262_303         -            519 21317at2157          -            319   6.9e-16   57.0   0.0   1   1   2.4e-18   1.2e-15   56.3   0.0    50   177   327   457   299   473 0.85 # 452969 # 454525 # 1 # ID=7_303;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
Utg33252_118         -            412 21317at2157          -            319   2.8e-15   55.0   0.0   1   2   1.4e-10   6.6e-08   30.8   0.0    65   102     7    44     3    51 0.91 # 169636 # 170871 # 1 # ID=2_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
Utg33252_118         -            412 21317at2157          -            319   2.8e-15   55.0   0.0   2   2   8.2e-08   3.9e-05   21.7   0.0   107   183    75   152    64   168 0.87 # 169636 # 170871 # 1 # ID=2_118;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464
Utg33250_160         -            648 21317at2157          -            319   6.7e-14   50.5   0.0   1   1   3.8e-16   1.8e-13   49.1   0.0    64   149   169   256   165   306 0.79 # 249919 # 251862 # -1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
Utg33264_198         -            527 21317at2157          -            319     5e-10   37.8   0.3   1   1   3.8e-12   1.8e-09   35.9   0.3    54   148   267   363   222   410 0.72 # 302703 # 304283 # -1 # ID=8_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
Utg33286_188         -            395 21317at2157          -            319   3.2e-08   31.9   0.1   1   3     3e-05     0.014   13.3   0.0    66   100    24    59     7    64 0.88 # 278622 # 279806 # -1 # ID=19_188;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
Utg33286_188         -            395 21317at2157          -            319   3.2e-08   31.9   0.1   2   3   8.3e-05      0.04   11.8   0.0   111   150    88   127    80   169 0.85 # 278622 # 279806 # -1 # ID=19_188;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
Utg33286_188         -            395 21317at2157          -            319   3.2e-08   31.9   0.1   3   3     0.046        22    2.8   0.0   300   314   372   386   361   390 0.85 # 278622 # 279806 # -1 # ID=19_188;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.397
Utg33262_56          -            406 21317at2157          -            319   1.4e-06   26.5   0.1   1   3   3.2e-06    0.0015   16.5   0.0    67    99    21    54     8    65 0.89 # 85060 # 86277 # -1 # ID=7_56;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
Utg33262_56          -            406 21317at2157          -            319   1.4e-06   26.5   0.1   2   3    0.0065       3.1    5.6   0.0   113   157    85   130    76   194 0.87 # 85060 # 86277 # -1 # ID=7_56;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
Utg33262_56          -            406 21317at2157          -            319   1.4e-06   26.5   0.1   3   3      0.32   1.5e+02    0.1   0.0   298   312   379   393   373   398 0.85 # 85060 # 86277 # -1 # ID=7_56;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.377
