#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264_198         -            527 984717at2            -            224   4.5e-15   54.6   0.5   1   1   3.5e-17   1.4e-14   53.0   0.5     3   100   278   382   276   415 0.72 # 302703 # 304283 # -1 # ID=8_198;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=11bp;gc_cont=0.380
Utg33252_544         -            641 984717at2            -            224   4.8e-08   31.6   0.2   1   2       2.9   1.2e+03   -2.4   0.0    89   109   226   246   201   260 0.70 # 776370 # 778292 # -1 # ID=2_544;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
Utg33252_544         -            641 984717at2            -            224   4.8e-08   31.6   0.2   2   2   3.6e-10   1.4e-07   30.0   0.0     2    60   339   395   338   408 0.88 # 776370 # 778292 # -1 # ID=2_544;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
Utg33252_159         -            369 984717at2            -            224   7.7e-07   27.7   0.6   1   2   6.1e-09   2.5e-06   26.0   0.1     2    87    66   155    65   167 0.80 # 239415 # 240521 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
Utg33252_159         -            369 984717at2            -            224   7.7e-07   27.7   0.6   2   2         1   4.2e+02   -0.9   0.1    90   108   241   258   215   277 0.69 # 239415 # 240521 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.402
Utg33286_395         -            856 984717at2            -            224   1.1e-06   27.2   0.0   1   2    0.0015      0.62    8.4   0.0     2    24   190   212   189   219 0.92 # 572619 # 575186 # -1 # ID=19_395;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
Utg33286_395         -            856 984717at2            -            224   1.1e-06   27.2   0.0   2   2   6.8e-06    0.0027   16.1   0.0    46    90   307   351   295   397 0.76 # 572619 # 575186 # -1 # ID=19_395;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
Utg33262_303         -            519 984717at2            -            224   1.3e-06   26.9   0.6   1   1   5.8e-08   2.4e-05   22.8   0.6     4   105   344   448   342   509 0.73 # 452969 # 454525 # 1 # ID=7_303;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
Utg33272_486         -            211 984717at2            -            224     2e-06   26.3   0.0   1   1   5.5e-09   2.2e-06   26.2   0.0     2    60    42    98    41   164 0.87 # 721997 # 722629 # -1 # ID=12_486;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
Utg33278_122         -            521 984717at2            -            224   6.9e-06   24.6   0.0   1   2      0.24        98    1.2   0.0    85   107   199   222   162   229 0.65 # 163848 # 165410 # 1 # ID=15_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
Utg33278_122         -            521 984717at2            -            224   6.9e-06   24.6   0.0   2   2   2.4e-07   9.7e-05   20.8   0.0     2   105   283   391   282   413 0.69 # 163848 # 165410 # 1 # ID=15_122;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.397
