#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264:420982-421620 -            213 721605at2759         -            251   1.7e-07   23.7   0.2   1   1   1.1e-08   3.3e-07   22.8   0.2    16   161     2   158     1   211 0.67 -
Utg33252:596455-597165 -            237 721605at2759         -            251   4.3e-06   19.1   0.3   1   2   3.6e-06   0.00011   14.5   0.3    19   127     4   120     1   130 0.70 -
Utg33252:596455-597165 -            237 721605at2759         -            251   4.3e-06   19.1   0.3   2   2     0.033         1    1.5   0.0   152   173   167   188   137   192 0.76 -
Utg33254:685969-686562 -            198 721605at2759         -            251   4.8e-06   19.0   0.0   1   2   6.9e-07   2.1e-05   16.9   0.0    17    95     1    84     1    89 0.72 -
Utg33254:685969-686562 -            198 721605at2759         -            251   4.8e-06   19.0   0.0   2   2      0.11       3.3   -0.2   0.0   118   161   152   198   130   198 0.71 -
Utg33252:883059-883898 -            280 721605at2759         -            251   6.5e-05   15.3   0.3   1   4   2.8e-05   0.00085   11.6   0.0    16    46     3    33     1    40 0.85 -
Utg33252:883059-883898 -            280 721605at2759         -            251   6.5e-05   15.3   0.3   2   4      0.14       4.2   -0.5   0.0    89   127    86   129    65   137 0.75 -
Utg33252:883059-883898 -            280 721605at2759         -            251   6.5e-05   15.3   0.3   3   4      0.24       7.5   -1.3   0.0   184   214   214   244   210   257 0.75 -
Utg33252:883059-883898 -            280 721605at2759         -            251   6.5e-05   15.3   0.3   4   4      0.38        12   -1.9   0.0   180   204   240   264   235   278 0.79 -
Utg33254:13067-13768   -            234 721605at2759         -            251     7e-05   15.2   0.0   1   2   6.9e-06   0.00021   13.6   0.0    17    95     3    81     1   103 0.78 -
Utg33254:13067-13768   -            234 721605at2759         -            251     7e-05   15.2   0.0   2   2      0.45        14   -2.2   0.0   179   206   195   221   185   227 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/eukaryota_odb10/hmms/721605at2759.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/metaeuk_output/rerun_results/SRRoutput.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/hmmer_output/rerun_results/721605at2759.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/eukaryota_odb10/hmms/721605at2759.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/metaeuk_output/rerun_results/SRRoutput.fasta.modified.fas 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:53:31 2023
# [ok]
