#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33286:690276-691766  -            497 15876at4891          -            303  1.2e-129  429.4  21.3   1   4   1.9e-21     1e-18   65.1   1.6     1    55     1    55     1    64 0.95 -
Utg33286:690276-691766  -            497 15876at4891          -            303  1.2e-129  429.4  21.3   2   4     5e-09   2.7e-06   24.4   2.2    36   126    85   176    72   195 0.81 -
Utg33286:690276-691766  -            497 15876at4891          -            303  1.2e-129  429.4  21.3   3   4      0.11        59    0.3   0.0    74    97   237   260   223   284 0.72 -
Utg33286:690276-691766  -            497 15876at4891          -            303  1.2e-129  429.4  21.3   4   4  3.2e-108  1.7e-105  350.1   1.3   108   303   296   497   282   497 0.94 -
Utg33274:527782-529596  -            605 15876at4891          -            303   1.4e-49  166.5  18.9   1   5   6.2e-14   3.3e-11   40.5   1.6     2    57     4    59     3   121 0.90 -
Utg33274:527782-529596  -            605 15876at4891          -            303   1.4e-49  166.5  18.9   2   5    0.0097       5.2    3.7   0.1    35    75   195   235   160   311 0.83 -
Utg33274:527782-529596  -            605 15876at4891          -            303   1.4e-49  166.5  18.9   3   5    0.0057         3    4.5   0.0   115   148   357   392   320   398 0.87 -
Utg33274:527782-529596  -            605 15876at4891          -            303   1.4e-49  166.5  18.9   4   5   1.5e-30   8.1e-28   95.1   0.6   156   258   424   529   410   559 0.83 -
Utg33274:527782-529596  -            605 15876at4891          -            303   1.4e-49  166.5  18.9   5   5   1.6e-11   8.5e-09   32.6   0.2   263   302   563   605   543   605 0.85 -
Utg33250:321626-322945  -            440 15876at4891          -            303   4.6e-45  151.7   8.6   1   3   6.6e-11   3.5e-08   30.6   4.9     3    69     6    72     4   140 0.71 -
Utg33250:321626-322945  -            440 15876at4891          -            303   4.6e-45  151.7   8.6   2   3      0.27   1.4e+02   -1.0   0.0    52    80   115   143    94   186 0.72 -
Utg33250:321626-322945  -            440 15876at4891          -            303   4.6e-45  151.7   8.6   3   3   7.4e-39   3.9e-36  122.4   0.1   103   302   236   440   163   440 0.85 -
Utg33254:999133-1001700 -            856 15876at4891          -            303     0.005   13.6   4.6   1   1   1.7e-05    0.0092   12.8   4.6     3    91     1    93     1   123 0.77 -
Utg33286:95126-98446    -           1107 15876at4891          -            303     0.032   11.0   1.0   1   1   0.00015     0.079    9.7   1.0     7    47    14    58     9    93 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/15876at4891.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/hmmer_output/initial_run_results/15876at4891.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/15876at4891.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 12:02:11 2023
# [ok]
