#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33280:237023-237922 -            300 30869at4891          -            203   6.7e-87  287.7  19.3   1   4   2.5e-26     2e-24   83.7   2.5     1    76     5    98     5   100 0.85 -
Utg33280:237023-237922 -            300 30869at4891          -            203   6.7e-87  287.7  19.3   2   4   2.5e-38     2e-36  122.9   0.4    60   143    99   190    95   196 0.90 -
Utg33280:237023-237922 -            300 30869at4891          -            203   6.7e-87  287.7  19.3   3   4   8.2e-14   6.7e-12   42.8   1.2   141   175   214   248   206   256 0.92 -
Utg33280:237023-237922 -            300 30869at4891          -            203   6.7e-87  287.7  19.3   4   4   5.5e-14   4.4e-12   43.4   0.0   164   203   258   297   249   297 0.80 -
Utg33274:591626-592516 -            297 30869at4891          -            203   9.5e-17   58.6   4.9   1   3   0.00029     0.024   11.6   0.0     2    30    28    56    27    72 0.90 -
Utg33274:591626-592516 -            297 30869at4891          -            203   9.5e-17   58.6   4.9   2   3   2.4e-14   1.9e-12   44.6   2.4    30   191    81   258    60   270 0.83 -
Utg33274:591626-592516 -            297 30869at4891          -            203   9.5e-17   58.6   4.9   3   3      0.82        67    0.3   0.0   175   199   273   297   263   297 0.64 -
Utg33250:19448-22150   -            901 30869at4891          -            203   4.1e-16   56.6   1.5   1   4    0.0015      0.12    9.3   0.0   144   174   531   561   510   568 0.69 -
Utg33250:19448-22150   -            901 30869at4891          -            203   4.1e-16   56.6   1.5   2   4   2.1e-07   1.7e-05   21.9   0.0    36   140   591   705   574   709 0.76 -
Utg33250:19448-22150   -            901 30869at4891          -            203   4.1e-16   56.6   1.5   3   4   0.00013     0.011   12.7   0.0     4    31   732   759   729   767 0.61 -
Utg33250:19448-22150   -            901 30869at4891          -            203   4.1e-16   56.6   1.5   4   4     0.004      0.32    7.9   0.0   109   140   777   808   763   814 0.84 -
Utg33284:224641-225606 -            322 30869at4891          -            203   8.6e-16   55.5   0.2   1   5   2.6e-05    0.0021   15.0   0.0   148   176    25    53    15   104 0.88 -
Utg33284:224641-225606 -            322 30869at4891          -            203   8.6e-16   55.5   0.2   2   5    0.0018      0.14    9.0   0.0     3    29   130   156   127   162 0.90 -
Utg33284:224641-225606 -            322 30869at4891          -            203   8.6e-16   55.5   0.2   3   5    0.0055      0.45    7.4   0.0    22    63   179   220   169   225 0.86 -
Utg33284:224641-225606 -            322 30869at4891          -            203   8.6e-16   55.5   0.2   4   5   4.8e-05    0.0039   14.1   0.0     2    42   230   273   229   277 0.86 -
Utg33284:224641-225606 -            322 30869at4891          -            203   8.6e-16   55.5   0.2   5   5     0.068       5.5    3.9   0.0   111   143   276   308   270   318 0.83 -
