# BUSCO version is: 5.4.4 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	Utg33254	328675	343404	-	4422.4	3519	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	Utg33262	315353	326587	+	4252.1	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	Utg33254	39684	49115	-	2474.5	2193	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	Utg33274	580791	587429	+	3449.4	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	Utg33254	286537	295398	-	1717.7	1698	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	Utg33280	1340032	1349835	+	2068.3	1936	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	Utg33262	442301	449542	-	3299.1	1836	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	Utg33272	655565	662263	-	3355.2	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	Utg33252	953381	961396	-	2038.9	1599	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	Utg33280	139556	145990	-	3250.4	1793	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	Utg33276	105864	112727	-	1745.3	1463	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	Utg33286	491738	498841	+	1239.4	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	Utg33286	49480	57840	-	356.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	Utg33272	149155	155811	+	2382.8	1637	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	Utg33254	706766	712465	-	1390.6	1038	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	Utg33252	991696	996630	+	2559.9	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	Utg33260	933104	938092	+	2452.6	1386	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	Utg33284	107990	114124	+	2846.2	1638	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
