#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33260:773089-774423 -            445 10233at4891          -            281     9e-74  245.5   1.0   1   3   5.2e-15   2.8e-12   43.7   0.1     1    51    32    83    32    87 0.90 -
Utg33260:773089-774423 -            445 10233at4891          -            281     9e-74  245.5   1.0   2   3   6.9e-54   3.7e-51  171.3   0.0    47   235   101   352    88   361 0.78 -
Utg33260:773089-774423 -            445 10233at4891          -            281     9e-74  245.5   1.0   3   3   7.9e-10   4.2e-07   26.7   0.0   234   281   376   435   369   435 0.76 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   1   6      0.13        68   -0.2   0.0    65    86   310   331   290   334 0.86 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   2   6   0.00051      0.27    7.7   0.2    32    98   614   682   607   710 0.74 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   3   6   3.5e-05     0.019   11.5   0.0    39    84  1053  1097  1044  1112 0.83 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   4   6   0.00043      0.23    7.9   0.0    63    96  1362  1393  1302  1400 0.77 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   5   6       1.1   5.8e+02   -3.2   0.1    53    95  1729  1773  1715  1780 0.67 -
Utg33254:328675-343404 -           4910 10233at4891          -            281   1.3e-07   28.4   7.5   6   6      0.24   1.3e+02   -1.1   0.0    66    85  2050  2069  2024  2072 0.86 -
Utg33284:168892-169620 -            243 10233at4891          -            281   1.9e-05   21.3   0.1   1   1   6.8e-08   3.6e-05   20.4   0.1    60    98    35    73    15    83 0.89 -
Utg33284:93742-96093   -            784 10233at4891          -            281    0.0061   13.1   0.1   1   2      0.16        84   -0.5   0.1    78   148   179   249   170   255 0.74 -
Utg33284:93742-96093   -            784 10233at4891          -            281    0.0061   13.1   0.1   2   2   7.5e-05      0.04   10.4   0.0    45    83   481   518   467   522 0.72 -
Utg33254:54146-55942   -            599 10233at4891          -            281     0.013   12.0   0.0   1   1   6.7e-05     0.036   10.6   0.0    63   111   207   266   196   273 0.66 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/10233at4891.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/hmmer_output/initial_run_results/10233at4891.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/10233at4891.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 12:01:49 2023
# [ok]
