# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	Utg33272	149152	155817	+	1942.4	1399
83779at2759	Complete	Utg33264	74870	76444	+	195.1	221
87842at2759	Complete	Utg33254	414308	417061	+	344.4	623
97116at2759	Complete	Utg33264	169166	173248	-	587.7	882
100698at2759	Complete	Utg33276	80042	82570	-	831.8	499
142542at2759	Complete	Utg33258	128570	132790	+	499.8	630
156083at2759	Complete	Utg33262	442301	449539	-	3217.4	1937
160593at2759	Complete	Utg33252	953378	961393	-	1341.2	1446
166920at2759	Complete	Utg33254	651915	655445	-	560.9	773
176625at2759	Complete	Utg33252	421162	424872	-	245.1	384
179362at2759	Complete	Utg33272	176348	180283	+	695.2	1287
245208at2759	Complete	Utg33264	823043	825955	+	1187.1	846
257318at2759	Complete	Utg33276	190562	192724	-	292.9	354
261328at2759	Missing
261419at2759	Missing
270107at2759	Complete	Utg33284	145226	147982	-	539.5	747
271586at2759	Complete	Utg33252	497754	500828	+	225.5	411
290630at2759	Complete	Utg33258	110720	113488	+	695.8	626
293315at2759	Complete	Utg33272	431004	435407	+	556.5	597
296129at2759	Complete	Utg33272	376254	379421	+	1050.9	714
299766at2759	Complete	Utg33260	953945	956899	+	370.5	450
306227at2759	Complete	Utg33254	862188	864827	+	433.2	540
320059at2759	Complete	Utg33250	236393	238063	+	866.5	451
324863at2759	Complete	Utg33250	112843	116142	-	520.4	532
325552at2759	Complete	Utg33264	423360	425204	-	330.7	412
330169at2759	Complete	Utg33272	679688	681340	+	247.5	301
331411at2759	Complete	Utg33264	364481	366511	+	264.5	413
341721at2759	Complete	Utg33254	140022	142010	-	248.6	386
345441at2759	Complete	Utg33278	44398	46068	+	416.9	385
355408at2759	Complete	Utg33254	362140	364200	-	536.4	546
369837at2759	Complete	Utg33280	855132	857267	+	300.7	426
375960at2759	Complete	Utg33266	270190	272256	+	245.4	360
383503at2759	Complete	Utg33280	387890	389479	+	196.4	364
388820at2759	Complete	Utg33254	902974	905790	-	524.5	600
390348at2759	Complete	Utg33264	615451	618552	+	1098.6	752
392369at2759	Complete	Utg33264	679737	681311	+	424.2	343
396755at2759	Complete	Utg33260	27126	30356	-	319.1	669
418107at2759	Complete	Utg33254	112986	114452	+	447.5	393
426305at2759	Complete	Utg33252	102305	104605	+	428.1	482
450058at2759	Complete	Utg33280	698431	700419	+	98.7	265
453044at2759	Complete	Utg33252	167675	169132	-	358.6	290
457861at2759	Complete	Utg33250	350648	351529	-	39.1	114
464990at2759	Complete	Utg33252	488605	490530	-	277.7	399
491869at2759	Missing
513979at2759	Complete	Utg33286	149950	152064	-	139.6	251
543764at2759	Complete	Utg33272	509668	511101	-	156.8	243
549762at2759	Complete	Utg33262	458304	460193	+	482.4	402
551907at2759	Complete	Utg33280	547581	550655	+	282.4	369
570797at2759	Complete	Utg33254	375427	377985	-	317.8	500
582756at2759	Complete	Utg33286	180857	182578	+	234.9	350
598949at2759	Complete	Utg33250	443893	446616	-	251.2	394
604979at2759	Complete	Utg33272	41570	42964	+	351.1	285
621827at2759	Complete	Utg33264	425741	427279	+	254.2	357
625387at2759	Complete	Utg33280	641451	643544	+	133.9	337
655400at2759	Complete	Utg33252	80411	81847	+	234.8	259
664730at2759	Complete	Utg33258	247708	249198	+	607.8	356
671536at2759	Complete	Utg33252	349024	350562	+	405.0	372
671846at2759	Complete	Utg33280	241897	244074	+	130.0	363
673132at2759	Complete	Utg33280	474520	475719	-	272.5	281
674160at2759	Complete	Utg33286	221516	228994	+	636.1	1000
674169at2759	Complete	Utg33278	530970	532946	+	136.8	245
679187at2759	Missing
679771at2759	Missing
687505at2759	Complete	Utg33264	673300	674430	+	139.1	230
692986at2759	Complete	Utg33278	479458	481860	+	192.0	409
708105at2759	Complete	Utg33250	67080	68201	-	157.2	184
719531at2759	Complete	Utg33250	402754	404091	-	364.2	288
720340at2759	Complete	Utg33254	919526	920704	-	156.3	229
721605at2759	Missing
722805at2759	Complete	Utg33280	580962	583937	+	203.1	382
734341at2759	Complete	Utg33274	664574	665548	+	77.4	174
734666at2759	Complete	Utg33262	456419	457972	+	489.8	390
736068at2759	Complete	Utg33274	301162	302622	-	255.7	316
751335at2759	Complete	Utg33266	30981	32414	+	162.4	342
759498at2759	Complete	Utg33264	345441	347861	-	540.0	422
761109at2759	Complete	Utg33262	449764	451641	-	371.0	389
768809at2759	Complete	Utg33254	145719	147101	+	253.7	246
774318at2759	Complete	Utg33286	68212	69585	-	273.9	272
777920at2759	Complete	Utg33252	389999	391813	-	408.2	351
779909at2759	Complete	Utg33272	620956	621864	+	258.0	228
801857at2759	Complete	Utg33272	654276	655427	+	205.3	195
814241at2759	Complete	Utg33260	773089	774423	-	209.3	318
817008at2759	Complete	Utg33260	108172	109467	-	468.8	297
834694at2759	Complete	Utg33264	696509	698584	-	394.7	326
836599at2759	Complete	Utg33278	198037	199605	+	333.8	344
844748at2759	Complete	Utg33272	582809	584260	+	207.5	313
855834at2759	Complete	Utg33284	215538	217418	+	157.7	309
858842at2759	Complete	Utg33272	221594	223363	-	213.9	323
865202at2759	Complete	Utg33284	496033	496947	-	190.6	184
866359at2759	Complete	Utg33264	535476	536516	-	335.4	260
869548at2759	Complete	Utg33250	68478	69176	+	174.2	186
878143at2759	Complete	Utg33274	103346	104704	-	343.0	326
887370at2759	Complete	Utg33262	494597	496426	-	292.8	295
891751at2759	Complete	Utg33266	206915	208570	-	241.7	224
898782at2759	Complete	Utg33286	71531	73153	-	245.9	299
901894at2759	Complete	Utg33252	854800	856647	+	225.4	344
905026at2759	Complete	Utg33284	402023	404542	-	314.8	397
911863at2759	Complete	Utg33262	261050	262249	-	170.3	187
917326at2759	Complete	Utg33280	808806	810803	+	374.8	429
918816at2759	Complete	Utg33252	593029	594456	+	104.5	341
919955at2759	Complete	Utg33280	1292445	1293623	+	228.9	252
923657at2759	Complete	Utg33252	368703	369869	-	144.9	163
924753at2759	Complete	Utg33260	63031	64329	-	196.8	232
931188at2759	Complete	Utg33282	114932	116275	+	312.1	346
937275at2759	Complete	Utg33280	757101	758432	+	60.9	87
937686at2759	Complete	Utg33280	181255	182589	+	373.7	340
939345at2759	Complete	Utg33280	447193	448371	-	80.4	109
944899at2759	Complete	Utg33258	324175	325122	+	364.0	236
946128at2759	Complete	Utg33280	1055473	1057398	+	288.9	446
956854at2759	Missing
973442at2759	Complete	Utg33250	261263	262630	-	87.8	168
974865at2759	Complete	Utg33284	598796	599827	-	214.7	227
975158at2759	Complete	Utg33278	149849	151138	-	146.7	231
975557at2759	Complete	Utg33264	671328	673097	+	376.3	425
976469at2759	Missing
981902at2759	Complete	Utg33254	917604	919316	+	101.6	218
996662at2759	Complete	Utg33280	991155	992069	+	200.6	206
1001705at2759	Complete	Utg33270	160100	161377	+	186.7	260
1003258at2759	Complete	Utg33274	290234	291442	-	272.9	287
1010730at2759	Complete	Utg33272	256285	257559	+	378.5	288
1014314at2759	Complete	Utg33272	170956	172221	+	109.3	197
1018517at2759	Complete	Utg33254	470166	471065	-	299.3	203
1019762at2759	Complete	Utg33250	532517	534313	-	113.0	387
1025450at2759	Complete	Utg33276	378139	379431	+	175.0	303
1030907at2759	Complete	Utg33260	615515	616450	-	246.9	274
1032689at2759	Complete	Utg33274	566480	567628	+	177.6	156
1038775at2759	Missing
1041560at2759	Complete	Utg33276	304892	306184	+	197.5	283
1049599at2759	Missing
1051021at2759	Complete	Utg33272	539062	540705	+	289.7	282
1053181at2759	Missing
1057950at2759	Complete	Utg33274	298381	299394	-	220.9	233
1065019at2759	Complete	Utg33272	702786	703970	+	306.4	267
1076134at2759	Complete	Utg33276	282956	283816	-	204.9	186
1079130at2759	Complete	Utg33286	697374	698717	-	307.8	250
1079827at2759	Complete	Utg33278	414383	415165	-	338.1	223
1085752at2759	Complete	Utg33250	299098	300768	-	161.5	304
1087488at2759	Complete	Utg33276	179948	181495	+	152.1	249
1090038at2759	Complete	Utg33274	405022	406248	-	128.2	142
1094121at2759	Complete	Utg33274	126962	127567	+	101.6	129
1096688at2759	Complete	Utg33274	174585	175739	+	333.9	211
1106766at2759	Complete	Utg33286	562418	564157	-	161.6	228
1107630at2759	Complete	Utg33250	501663	502664	+	257.8	214
1108845at2759	Missing
1111142at2759	Complete	Utg33286	470815	472761	-	142.5	283
1112002at2759	Complete	Utg33254	548155	550605	-	397.8	529
1115196at2759	Complete	Utg33266	44675	46081	+	358.1	277
1128607at2759	Complete	Utg33250	57765	58790	+	293.7	210
1129824at2759	Complete	Utg33252	633255	633806	+	88.9	133
1138059at2759	Complete	Utg33258	122422	123246	+	283.8	206
1157302at2759	Complete	Utg33250	29736	30470	+	367.4	203
1161199at2759	Complete	Utg33276	210718	211605	+	32.7	130
1173229at2759	Complete	Utg33266	259906	261381	+	64.0	182
1178688at2759	Complete	Utg33280	1028587	1029222	-	97.2	140
1182451at2759	Complete	Utg33260	262527	263717	-	123.5	156
1193442at2759	Complete	Utg33286	704931	706379	-	288.4	310
1194691at2759	Complete	Utg33266	129600	130886	+	299.3	296
1194797at2759	Complete	Utg33260	987481	989769	-	305.8	456
1197019at2759	Complete	Utg33274	370390	370977	-	150.5	157
1200489at2759	Complete	Utg33272	215861	216736	+	102.5	108
1217666at2759	Complete	Utg33254	169839	170588	-	203.8	151
1220881at2759	Complete	Utg33266	58272	59285	+	97.3	170
1222562at2759	Complete	Utg33260	315173	316111	-	160.4	115
1223488at2759	Complete	Utg33260	237072	237809	+	59.9	77
1228942at2759	Complete	Utg33282	20674	21471	+	190.4	163
1233814at2759	Complete	Utg33262	132118	133082	+	147.5	165
1236198at2759	Complete	Utg33258	105144	105614	-	157.1	123
1247641at2759	Complete	Utg33252	159911	161737	+	136.1	262
1248958at2759	Complete	Utg33252	1052709	1055588	-	576.5	616
1249159at2759	Complete	Utg33280	463511	464134	+	115.0	154
1251252at2759	Complete	Utg33262	231608	232492	-	72.1	84
1257440at2759	Complete	Utg33278	167364	167897	-	155.2	128
1258856at2759	Complete	Utg33250	153185	155578	-	339.7	586
1259741at2759	Complete	Utg33280	1099996	1101228	+	389.1	226
1260807at2759	Complete	Utg33250	397098	398483	+	239.1	205
1264469at2759	Complete	Utg33280	828542	829546	+	166.6	146
1266231at2759	Complete	Utg33254	492469	493224	+	277.4	187
1269244at2759	Complete	Utg33280	737956	738750	+	74.0	112
1269649at2759	Complete	Utg33260	577465	578286	-	274.0	165
1275837at2759	Complete	Utg33260	788034	789047	-	346.4	257
1284731at2759	Complete	Utg33260	33126	33845	+	93.2	114
1287094at2759	Complete	Utg33264	393208	393870	-	121.0	127
1287401at2759	Complete	Utg33250	320224	321123	-	242.9	162
1291729at2759	Complete	Utg33260	26432	27013	+	55.4	106
1304061at2759	Complete	Utg33272	230026	230643	+	173.1	129
1309031at2759	Complete	Utg33254	323658	325607	-	208.5	365
1312453at2759	Complete	Utg33286	423021	427382	+	516.2	732
1314980at2759	Complete	Utg33254	357651	360227	+	279.1	445
1322299at2759	Complete	Utg33280	1374690	1376096	-	212.4	297
1322642at2759	Duplicated	Utg33270	132001	133197	-	145.7	142
1322642at2759	Duplicated	Utg33260	220038	221177	-	142.5	156
1323575at2759	Complete	Utg33266	52106	52633	+	152.2	113
1324510at2759	Complete	Utg33280	1197231	1198709	+	240.4	242
1338131at2759	Complete	Utg33280	1120362	1120928	-	238.9	139
1339553at2759	Complete	Utg33254	1020284	1021465	+	204.8	296
1342242at2759	Complete	Utg33274	95445	96935	-	131.4	180
1346165at2759	Complete	Utg33276	372733	373959	-	291.7	275
1346432at2759	Complete	Utg33284	263014	263763	-	111.8	186
1348942at2759	Complete	Utg33264	310747	311844	+	88.3	153
1355894at2759	Complete	Utg33266	181061	181645	-	166.2	139
1358374at2759	Complete	Utg33260	471063	472097	+	244.6	204
1364586at2759	Complete	Utg33260	311082	311843	+	103.6	167
1370285at2759	Complete	Utg33272	550360	552876	-	153.3	374
1370304at2759	Complete	Utg33278	55050	57248	-	165.8	404
1377237at2759	Complete	Utg33266	34450	35517	+	136.0	143
1379600at2759	Complete	Utg33274	367781	370246	+	225.0	481
1380409at2759	Complete	Utg33264	512932	513555	-	150.4	143
1382842at2759	Complete	Utg33274	452772	453410	+	102.4	116
1395649at2759	Complete	Utg33264	159732	160265	+	48.9	119
1398309at2759	Complete	Utg33258	60295	60840	+	59.3	91
1404162at2759	Complete	Utg33286	348578	350437	-	143.6	224
1405073at2759	Complete	Utg33250	468802	469344	-	225.8	158
1405146at2759	Complete	Utg33276	342650	343309	-	103.0	136
1407446at2759	Complete	Utg33254	246049	246591	-	43.1	86
1421503at2759	Complete	Utg33250	410058	410681	-	166.2	108
1423847at2759	Complete	Utg33260	285485	286585	+	227.6	257
1426075at2759	Complete	Utg33286	715664	716188	-	68.0	99
1428265at2759	Complete	Utg33250	474419	475423	-	154.0	207
1428854at2759	Complete	Utg33266	136405	139065	-	375.9	506
1430056at2759	Complete	Utg33284	183137	183772	-	110.9	124
1432328at2759	Complete	Utg33272	640074	641003	-	220.1	189
1434266at2759	Complete	Utg33280	1401254	1402135	+	93.5	152
1440961at2759	Complete	Utg33260	998960	1000162	+	37.2	153
1441854at2759	Complete	Utg33274	176111	177085	+	233.7	279
1442062at2759	Complete	Utg33272	401973	403451	+	98.0	207
1445102at2759	Complete	Utg33266	281962	282762	+	179.2	190
1450538at2759	Complete	Utg33254	485518	486507	-	82.7	139
1454155at2759	Complete	Utg33280	1354053	1355015	+	70.9	118
1455730at2759	Fragmented	Utg33270	88432	89565	-	131.6	258
1459797at2759	Complete	Utg33272	346601	346987	-	75.8	95
1474000at2759	Complete	Utg33250	252176	252997	+	82.2	172
1479417at2759	Complete	Utg33260	884939	885577	+	207.9	186
1488235at2759	Complete	Utg33280	153805	154395	-	161.7	138
1488436at2759	Complete	Utg33266	292561	293004	+	121.5	62
1490022at2759	Complete	Utg33274	289402	289995	-	165.7	170
1504863at2759	Complete	Utg33280	924696	925352	+	108.7	125
1513531at2759	Complete	Utg33274	222442	223146	-	151.2	190
1525971at2759	Complete	Utg33286	649750	650307	+	91.8	79
1526152at2759	Missing
1530008at2759	Complete	Utg33262	295292	295906	-	132.9	88
1538526at2759	Complete	Utg33280	77860	78327	+	140.2	93
1545004at2759	Duplicated	Utg33274	565662	565913	+	70.3	63
1545004at2759	Duplicated	Utg33274	281714	282040	-	69.9	72
