#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33252:840370-842424 -            685 1653at4891           -            641  4.5e-208  683.4   5.6   1   1  1.3e-207  2.2e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
Utg33280:186339-188513 -            725 1653at4891           -            641     4e-73  237.6   5.6   1   3   3.6e-52     6e-52  167.6   0.8     2   254     2   243     1   248 0.92 -
Utg33280:186339-188513 -            725 1653at4891           -            641     4e-73  237.6   5.6   2   3   4.5e-14   7.4e-14   41.8   0.0   214   301   247   339   241   351 0.90 -
Utg33280:186339-188513 -            725 1653at4891           -            641     4e-73  237.6   5.6   3   3   1.3e-09   2.1e-09   27.1   0.5   324   524   405   598   385   677 0.78 -
Utg33258:92009-93028   -            340 1653at4891           -            641   1.4e-33  106.9   6.7   1   2   2.5e-18     4e-18   55.9   0.8   115   253     4   147     2   165 0.82 -
Utg33258:92009-93028   -            340 1653at4891           -            641   1.4e-33  106.9   6.7   2   2   1.1e-15   1.9e-15   47.1   0.5   105   225   209   328   168   329 0.75 -
Utg33286:602387-603127 -            247 1653at4891           -            641     2e-31   99.9   0.6   1   2   2.9e-25   4.7e-25   78.8   0.4    90   256    32   196     4   200 0.88 -
Utg33286:602387-603127 -            247 1653at4891           -            641     2e-31   99.9   0.6   2   2   2.1e-09   3.5e-09   26.4   0.0   191   252   173   235   166   244 0.86 -
Utg33258:72772-73566   -            265 1653at4891           -            641     5e-28   88.6   0.0   1   2   4.9e-21     8e-21   64.8   0.0    96   252     3   164     1   178 0.89 -
Utg33258:72772-73566   -            265 1653at4891           -            641     5e-28   88.6   0.0   2   2   3.8e-08   6.3e-08   22.2   0.0    87   166   181   264   173   265 0.82 -
Utg33258:111395-112378 -            328 1653at4891           -            641   7.4e-28   88.0   0.0   1   1     6e-28   9.8e-28   87.6   0.0     6   250    28   276    23   288 0.88 -
Utg33272:621070-621861 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   1   4   3.5e-09   5.8e-09   25.6   0.0   191   252     5    67     2    82 0.84 -
Utg33272:621070-621861 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   2   4   0.00014   0.00024   10.4   0.0    93   172    77   154    72   161 0.85 -
Utg33272:621070-621861 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   3   4   6.5e-14   1.1e-13   41.3   1.6    87   169   162   243   155   246 0.95 -
Utg33272:621070-621861 -            264 1653at4891           -            641   1.1e-25   80.8   3.7   4   4   8.9e-06   1.5e-05   14.4   0.0   190   223   222   255   217   263 0.86 -
Utg33254:548785-549561 -            259 1653at4891           -            641   3.1e-24   76.1   4.7   1   2   0.00069    0.0011    8.1   0.1   190   239    50    99    44   104 0.89 -
Utg33254:548785-549561 -            259 1653at4891           -            641   3.1e-24   76.1   4.7   2   2   3.1e-22     5e-22   68.8   1.7   107   252   104   257    96   258 0.80 -
Utg33282:153602-154381 -            260 1653at4891           -            641   7.6e-16   48.4   7.0   1   3   6.4e-08   1.1e-07   21.5   0.1   199   250     1    54     1    59 0.90 -
Utg33282:153602-154381 -            260 1653at4891           -            641   7.6e-16   48.4   7.0   2   3   2.8e-08   4.6e-08   22.7   0.5   195   252   104   161    98   191 0.86 -
Utg33282:153602-154381 -            260 1653at4891           -            641   7.6e-16   48.4   7.0   3   3    0.0012    0.0019    7.4   0.1   170   243   186   253   165   260 0.59 -
Utg33284:516237-516962 -            242 1653at4891           -            641   1.2e-14   44.4   0.0   1   3   2.2e-08   3.7e-08   23.0   0.0   198   252    17    72     6    81 0.86 -
Utg33284:516237-516962 -            242 1653at4891           -            641   1.2e-14   44.4   0.0   2   3     0.035     0.058    2.5   0.0   214   264    95   143    89   171 0.62 -
Utg33284:516237-516962 -            242 1653at4891           -            641   1.2e-14   44.4   0.0   3   3   4.1e-06   6.7e-06   15.5   0.0   195   253   181   237   173   241 0.86 -
Utg33252:599566-600393 -            276 1653at4891           -            641   9.6e-13   38.1   0.8   1   2    0.0029    0.0048    6.1   0.0   203   246    57    98    47   105 0.83 -
Utg33252:599566-600393 -            276 1653at4891           -            641   9.6e-13   38.1   0.8   2   2   1.4e-10   2.3e-10   30.3   0.4    91   250   114   275   109   276 0.83 -
Utg33250:538634-540199 -            521 1653at4891           -            641   3.1e-09   26.5   0.1   1   2   2.7e-06   4.4e-06   16.1   0.1   107   168   256   317   251   325 0.93 -
Utg33250:538634-540199 -            521 1653at4891           -            641   3.1e-09   26.5   0.1   2   2   0.00066    0.0011    8.2   0.0    71   127   369   427   360   440 0.76 -
Utg33264:423498-424946 -            483 1653at4891           -            641   8.6e-09   25.1   0.8   1   3   0.00059   0.00098    8.4   0.0    67   215    46   201    22   202 0.73 -
Utg33264:423498-424946 -            483 1653at4891           -            641   8.6e-09   25.1   0.8   2   3   1.5e-07   2.5e-07   20.2   1.0   143   322   171   347   121   375 0.73 -
Utg33264:423498-424946 -            483 1653at4891           -            641   8.6e-09   25.1   0.8   3   3      0.23      0.37   -0.2   0.0    64   149   370   457   353   483 0.64 -
Utg33272:569552-570460 -            303 1653at4891           -            641   7.4e-06   15.4   0.3   1   2   5.2e-05   8.6e-05   11.8   0.2    44   170     8   141     3   185 0.69 -
Utg33272:569552-570460 -            303 1653at4891           -            641   7.4e-06   15.4   0.3   2   2     0.078      0.13    1.4   0.0   221   251   250   282   237   289 0.59 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/1653at4891.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/rerun_results/SRRoutput.fasta.modified.fas
