# BUSCO version is: 5.4.4 
# The lineage dataset is: archaea_odb10 (Creation date: 2021-02-23, number of genomes: 404, number of BUSCOs: 194)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
860at2157	Missing
1642at2157	Duplicated	Utg33260	552731	555259	+	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
1642at2157	Duplicated	Utg33280	1213640	1216168	+	495.5	608	https://www.orthodb.org/v10?query=1642at2157	Elongation factor 2
3905at2157	Duplicated	Utg33280	195692	200893	-	705.5	661	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
3905at2157	Duplicated	Utg33260	517396	521778	-	622.8	705	https://www.orthodb.org/v10?query=3905at2157	DNA-directed RNA polymerase subunit
6590at2157	Complete	Utg33252	62521	64776	+	277.8	388	https://www.orthodb.org/v10?query=6590at2157	Methionine--tRNA ligase
6736at2157	Missing
7046at2157	Duplicated	Utg33280	1122213	1124036	-	223.3	409	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7046at2157	Duplicated	Utg33262	297448	299379	-	221.1	424	https://www.orthodb.org/v10?query=7046at2157	Arginine--tRNA ligase
7724at2157	Complete	Utg33250	236394	238067	+	331.9	378	https://www.orthodb.org/v10?query=7724at2157	tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3
7896at2157	Complete	Utg33260	918351	921227	-	189.9	372	https://www.orthodb.org/v10?query=7896at2157	Alanine--tRNA ligase
8899at2157	Complete	Utg33286	477340	478893	-	600.2	411	https://www.orthodb.org/v10?query=8899at2157	V-type ATP synthase beta chain
8922at2157	Missing
10236at2157	Missing
13010at2157	Complete	Utg33280	603657	605483	-	584.0	493	https://www.orthodb.org/v10?query=13010at2157	ribosome biogenesis/translation initiation ATPase RLI
13531at2157	Complete	Utg33254	844326	845768	-	217.1	322	https://www.orthodb.org/v10?query=13531at2157	Protein translocase subunit SecY
13565at2157	Missing
14061at2157	Duplicated	Utg33286	142443	144182	-	553.8	465	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14061at2157	Duplicated	Utg33274	124238	125974	-	542.1	469	https://www.orthodb.org/v10?query=14061at2157	CTP synthase
14454at2157	Complete	Utg33262	152600	154678	+	342.3	319	https://www.orthodb.org/v10?query=14454at2157	Proline--tRNA ligase
14889at2157	Complete	Utg33264	355042	357714	+	133.1	528	https://www.orthodb.org/v10?query=14889at2157	V-type ATP synthase subunit I
17053at2157	Complete	Utg33270	81519	84527	+	363.7	442	https://www.orthodb.org/v10?query=17053at2157	translation initiation factor IF-2
17629at2157	Complete	Utg33278	236866	238215	-	306.3	339	https://www.orthodb.org/v10?query=17629at2157	Adenosylhomocysteinase
18705at2157	Missing
19750at2157	Fragmented	Utg33274	469409	473077	+	35.8	470	https://www.orthodb.org/v10?query=19750at2157	ATPase
21317at2157	Duplicated	Utg33252	239415	240521	-	319.0	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
21317at2157	Duplicated	Utg33270	80135	81244	-	289.4	315	https://www.orthodb.org/v10?query=21317at2157	GTP-binding protein
22545at2157	Missing
22747at2157	Complete	Utg33282	176782	178293	+	349.9	490	https://www.orthodb.org/v10?query=22747at2157	phenylalanine--tRNA ligase subunit alpha
22842at2157	Missing
23182at2157	Missing
23221at2157	Duplicated	Utg33252	82134	83447	-	327.6	324	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	Utg33262	463919	465232	+	324.6	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	Utg33264	897893	899206	+	305.1	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	Utg33250	612038	613351	+	304.9	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	Utg33290	10337	11650	-	304.9	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
23221at2157	Duplicated	Utg33256	18340	19653	-	304.3	325	https://www.orthodb.org/v10?query=23221at2157	Enolase
24257at2157	Missing
24288at2157	Complete	Utg33254	95374	97047	-	267.2	313	https://www.orthodb.org/v10?query=24288at2157	aspartate--tRNA(Asn) ligase
25592at2157	Complete	Utg33278	206343	207926	+	371.5	362	https://www.orthodb.org/v10?query=25592at2157	Translation initiation factor 2 subunit gamma
25871at2157	Complete	Utg33266	98550	100175	-	283.4	368	https://www.orthodb.org/v10?query=25871at2157	signal recognition particle protein
29893at2157	Missing
30130at2157	Complete	Utg33278	351051	352253	+	208.7	224	https://www.orthodb.org/v10?query=30130at2157	DNA repair and recombination protein RadA
31316at2157	Complete	Utg33284	32514	33458	+	145.4	259	https://www.orthodb.org/v10?query=31316at2157	Dihydroorotate dehydrogenase
