#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33272:221594-223363   -            590 858842at2759         -            236   1.1e-64  213.9  63.1   1   5   5.3e-37   2.5e-35  117.7   2.8     1    71     2    72     2    87 0.96 -
Utg33272:221594-223363   -            590 858842at2759         -            236   1.1e-64  213.9  63.1   2   5     0.013      0.59    5.2   0.0    76   107   108   139   105   154 0.83 -
Utg33272:221594-223363   -            590 858842at2759         -            236   1.1e-64  213.9  63.1   3   5   3.9e-25   1.9e-23   78.9  11.3   103   194   178   270   151   278 0.87 -
Utg33272:221594-223363   -            590 858842at2759         -            236   1.1e-64  213.9  63.1   4   5     2e-10   9.5e-09   30.7  12.5   136   236   276   377   272   377 0.85 -
Utg33272:221594-223363   -            590 858842at2759         -            236   1.1e-64  213.9  63.1   5   5     0.015      0.73    4.9   0.2   199   230   550   581   529   588 0.86 -
Utg33252:21508-22080     -            191 858842at2759         -            236   2.1e-26   88.6   4.6   1   1   5.3e-28   2.5e-26   88.3   4.6    10   185    11   191     2   191 0.89 -
Utg33272:506760-507986   -            409 858842at2759         -            236   3.3e-25   84.6   0.2   1   1   1.1e-26   5.2e-25   84.0   0.2     3    68     6    69     4    74 0.95 -
Utg33264:555732-556142   -            137 858842at2759         -            236   3.2e-24   81.4   0.3   1   1   8.2e-26   3.9e-24   81.1   0.3     2    69     7    72     6    86 0.91 -
Utg33254:300386-301579   -            398 858842at2759         -            236   8.8e-24   80.0   0.1   1   1     3e-25   1.4e-23   79.3   0.1     4    75     4    77     2   120 0.79 -
Utg33278:248957-249232   -             92 858842at2759         -            236     4e-23   77.8   0.1   1   1   9.3e-25   4.4e-23   77.7   0.1     4    74     2    71     1    87 0.88 -
Utg33276:362889-363164   -             92 858842at2759         -            236   1.6e-22   75.8   0.1   1   1   3.6e-24   1.7e-22   75.8   0.1     4    72     2    69     1    86 0.91 -
Utg33272:482280-483557   -            426 858842at2759         -            236   3.7e-22   74.6   1.9   1   1   1.2e-23   5.7e-22   74.0   1.9     3    76     6    78     4    98 0.88 -
Utg33264:673300-674430   -            377 858842at2759         -            236   9.2e-22   73.3   3.4   1   2   2.1e-23   9.7e-22   73.3   2.5     2    67    22    86    21    93 0.95 -
Utg33264:673300-674430   -            377 858842at2759         -            236   9.2e-22   73.3   3.4   2   2       6.8   3.2e+02   -3.7   0.0   199   213   358   372   358   374 0.83 -
Utg33272:619405-620433   -            343 858842at2759         -            236   9.1e-20   66.8   0.1   1   1   2.6e-21   1.2e-19   66.4   0.1     5    67     1    59     1    67 0.94 -
Utg33282:165740-166966   -            409 858842at2759         -            236   1.5e-18   62.8   1.4   1   1   4.7e-20   2.2e-18   62.3   1.4     2    67     3    66     2    71 0.94 -
Utg33252:633255-633806   -            184 858842at2759         -            236   8.8e-05   17.8   1.8   1   2   1.9e-06   9.1e-05   17.7   0.5    15    67    32    80    29   110 0.83 -
Utg33252:633255-633806   -            184 858842at2759         -            236   8.8e-05   17.8   1.8   2   2       2.1        99   -2.0   0.0   140   161   116   137   108   150 0.71 -
Utg33280:274930-275511   -            194 858842at2759         -            236   0.00056   15.1   1.2   1   2     3e-05    0.0014   13.8   0.1   164   223    44   105     8   114 0.75 -
Utg33280:274930-275511   -            194 858842at2759         -            236   0.00056   15.1   1.2   2   2      0.43        20    0.2   0.1   143   165   150   172   131   188 0.59 -
Utg33260:449555-449980   -            142 858842at2759         -            236    0.0015   13.7   0.4   1   2   3.2e-05    0.0015   13.7   0.4   194   228     7    42     2    50 0.83 -
Utg33260:449555-449980   -            142 858842at2759         -            236    0.0015   13.7   0.4   2   2       3.9   1.9e+02   -2.9   0.1   161   161    84    84    61   103 0.51 -
Utg33266:291479-292090   -            204 858842at2759         -            236      0.15    7.2  15.7   1   4      0.35        17    0.5   0.6   196   216    32    52    15    58 0.82 -
Utg33266:291479-292090   -            204 858842at2759         -            236      0.15    7.2  15.7   2   4    0.0043       0.2    6.7   1.1   190   219    54    83    40    88 0.76 -
Utg33266:291479-292090   -            204 858842at2759         -            236      0.15    7.2  15.7   3   4    0.0024      0.12    7.6   0.8   196   222   115   140   101   148 0.85 -
Utg33266:291479-292090   -            204 858842at2759         -            236      0.15    7.2  15.7   4   4      0.26        12    0.9   0.1   185   216   163   194   149   196 0.71 -
Utg33252:1082360-1082875 -            172 858842at2759         -            236      0.53    5.4   9.6   1   2      0.18       8.7    1.4   0.3   191   221    18    50     8    56 0.79 -
Utg33252:1082360-1082875 -            172 858842at2759         -            236      0.53    5.4   9.6   2   2    0.0027      0.13    7.4   3.8   197   223    84   110    64   122 0.73 -
Utg33274:427694-428197   -            168 858842at2759         -            236       2.2    3.4  25.4   1   4      0.42        20    0.3   0.1   203   217     1    15     1    21 0.90 -
Utg33274:427694-428197   -            168 858842at2759         -            236       2.2    3.4  25.4   2   4      0.04       1.9    3.6   3.9   192   219    51    78    24    83 0.80 -
Utg33274:427694-428197   -            168 858842at2759         -            236       2.2    3.4  25.4   3   4    0.0064       0.3    6.2   1.3   195   219    82   106    76   111 0.84 -
Utg33274:427694-428197   -            168 858842at2759         -            236       2.2    3.4  25.4   4   4     0.018      0.84    4.7   4.1   195   221   110   136   105   148 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/eukaryota_odb10/hmms/858842at2759.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/hmmer_output/initial_run_results/858842at2759.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/eukaryota_odb10/hmms/858842at2759.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_eukaryota_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:49:15 2023
# [ok]
