#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264_278         -            225 78046at2157          -            167   3.8e-40  136.1   0.0   1   1   1.6e-41   2.2e-38  130.3   0.0     3   167    15   218    13   218 0.77 # 429012 # 429686 # -1 # ID=8_278;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=14bp;gc_cont=0.403
Utg33272_11          -            223 78046at2157          -            167   4.3e-39  132.6   0.1   1   2   2.1e-05     0.028   12.9   0.1     2    32     3    33     2    40 0.84 # 13157 # 13825 # -1 # ID=12_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
Utg33272_11          -            223 78046at2157          -            167   4.3e-39  132.6   0.1   2   2   9.2e-38   1.2e-34  118.1   0.0    22   167    39   212    28   212 0.83 # 13157 # 13825 # -1 # ID=12_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
Utg33282_164         -            223 78046at2157          -            167   7.6e-39  131.8   0.1   1   2   2.1e-05     0.028   12.9   0.1     2    32     3    33     2    40 0.84 # 261000 # 261668 # 1 # ID=17_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
Utg33282_164         -            223 78046at2157          -            167   7.6e-39  131.8   0.1   2   2   1.7e-37   2.3e-34  117.3   0.0    22   167    39   212    28   212 0.83 # 261000 # 261668 # 1 # ID=17_164;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398
Utg33286_487         -            553 78046at2157          -            167   7.8e-05   21.2   0.0   1   2   0.00036      0.49    8.8   0.0    15    76    22    89     9   112 0.70 # 706732 # 708390 # -1 # ID=19_487;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=4bp;gc_cont=0.413
Utg33286_487         -            553 78046at2157          -            167   7.8e-05   21.2   0.0   2   2   0.00016      0.21   10.0   0.0   135   158   175   198   166   205 0.79 # 706732 # 708390 # -1 # ID=19_487;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=4bp;gc_cont=0.413
Utg33258_131         -            417 78046at2157          -            167    0.0063   15.0   0.6   1   3    0.0017       2.3    6.7   0.0   101   154     2    55     1    58 0.92 # 202983 # 204233 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
Utg33258_131         -            417 78046at2157          -            167    0.0063   15.0   0.6   2   3    0.0044         6    5.3   0.0    28    62   224   258   213   264 0.85 # 202983 # 204233 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
Utg33258_131         -            417 78046at2157          -            167    0.0063   15.0   0.6   3   3      0.44     6e+02   -1.2   0.1    34    49   365   380   349   395 0.73 # 202983 # 204233 # -1 # ID=5_131;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=10bp;gc_cont=0.461
Utg33264_450         -            526 78046at2157          -            167     0.071   11.6   0.1   1   3      0.07        95    1.4   0.0    53    74    72    93    43   102 0.77 # 679738 # 681315 # 1 # ID=8_450;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
Utg33264_450         -            526 78046at2157          -            167     0.071   11.6   0.1   2   3    0.0013       1.8    7.0   0.0   141   161   164   184   152   189 0.85 # 679738 # 681315 # 1 # ID=8_450;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
Utg33264_450         -            526 78046at2157          -            167     0.071   11.6   0.1   3   3       1.7   2.3e+03   -3.2   0.0    36    52   229   245   212   250 0.71 # 679738 # 681315 # 1 # ID=8_450;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/archaea_odb10/hmms/78046at2157.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/auto_lineage/run_archaea_odb10/hmmer_output/78046at2157.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/archaea_odb10/hmms/78046at2157.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 11:42:50 2023
# [ok]
